clock,cpg_id,species,genome,weight,chr,pos,pos_hg38,pos_hg19,pos_hg18,pos_mm39_lifted_from_mm10,pos_mm10_MM,ucsc_annotation,gene_strand,gene_symbol,relation_to_ucsc_island,island_context,array/data_type,human_GRCh37_coordinate,pos_hg38_EPIC,pos_hg19_EPIC,pos_hg19_450k,pos_hg19_27k,pos_hg18_450k,pos_hg18_27k,pos_hg38_lifted_from_hg19,pos_hg38_lifted_from_hg18,rowname
Horvath,cg02972551,Human,NCBI36,0.47394601,2,86521579,86440945,86668068,86521579,NA,NA,TSS1500;TSS1500,+,JMJD1A,Island,Island,450k,NA,NA,NA,86668068,NA,86521579,NA,86440945,86440945,24
Horvath,cg03103192,Human,NCBI36,0.02353634,4,52612028,52051105,52917271,52612028,NA,NA,TSS1500,+,SPATA18,N_Shore,Shore,450k,NA,NA,NA,52917271,NA,52612028,NA,52051105,52051105,25
Horvath,cg03167275,Human,NCBI36,-0.5510413,21,17807964,17513775,18886093,17807964,NA,NA,Body,+,CXADR,Island,Island,450k,NA,NA,NA,18886093,NA,17807964,NA,17513775,17513775,26
Horvath,cg03270204,Human,NCBI36,0.01354473,6,30959617,30883861,30851638,30959617,NA,NA,TSS1500;TSS1500,+,DDR1,N_Shore,Shore,450k,NA,NA,NA,30851638,NA,30959617,NA,30883861,30883861,27
Horvath,cg03565323,Human,NCBI36,-0.2076532,17,16413591,16569552,16472866,16413591,NA,NA,TSS1500,-,ZNF287,S_Shore,Shore,450k,NA,NA,NA,16472866,NA,16413591,NA,16569552,16569552,28
Horvath,cg03588357,Human,NCBI36,-0.858843,14,90789926,91253829,91720173,90789926,NA,NA,1stExon;5'UTR,-,GPR68,Island,Island,450k,NA,NA,NA,91720173,NA,90789926,NA,91253829,91253829,29
Horvath,cg03760483,Human,NCBI36,0.0149464,17,6840021,6995978,6899297,6840021,NA,NA,TSS200,+,ALOX12,Island,Island,450k,NA,NA,NA,6899297,NA,6840021,NA,6995978,6995978,30
Horvath,cg04084157,Human,NCBI36,1.0341442,7,100595769,101165768,100809049,100595769,NA,NA,TSS200,-,VGF,Island,Island,450k,NA,NA,NA,100809049,NA,100595769,NA,101165768,101165768,31
Horvath,cg04126866,Human,NCBI36,0.07937455,10,85922743,84173007,85932763,85922743,NA,NA,TSS1500,+,C10orf99,0,-,450k,NA,NA,NA,85932763,NA,85922743,NA,84173007,84173007,32
Horvath,cg04528819,Human,NCBI36,0.77179811,7,130068855,130733488,130418315,130068855,NA,NA,1stExon,-,KLF14,Island,Island,450k,NA,NA,NA,130418315,NA,130068855,NA,130733488,130733488,33
Horvath,cg04836038,Human,NCBI36,0.4400562,13,98537383,99087128,99739382,98537383,NA,NA,TSS1500;TSS1500,-,DOCK9,Island,Island,450k,NA,NA,NA,99739382,NA,98537383,NA,99087128,99087128,34
Horvath,cg05250458,Human,NCBI36,0.08729556,19,9334565,9362889,9473565,9334565,NA,NA,TSS200,+,ZNF177,N_Shore,Shore,450k,NA,NA,NA,9473565,NA,9334565,NA,9362889,9362889,35
Horvath,cg05294243,Human,NCBI36,0.11851793,19,56260918,51065849,51569106,56260918,NA,NA,TSS1500,-,KLK13,S_Shore,-,450k,NA,NA,NA,51569106,NA,56260918,NA,51065849,51065849,36
Horvath,cg05365729,Human,NCBI36,0.05294013,8,23318018,23404560,23262073,23318018,NA,NA,TSS1500,-,LOXL2,S_Shore,Shore,450k,NA,NA,NA,23262073,NA,23318018,NA,23404560,23404560,37
Horvath,cg05675373,Human,NCBI36,0.34635595,1,110555780,110211635,110754257,110555780,NA,NA,1stExon;1stExon;1stExon,+,KCNC4,Island,Island,450k,NA,NA,NA,110754257,NA,110555780,NA,110211635,110211635,38
Horvath,cg05755779,Human,NCBI36,0.0602151,8,120148806,119067386,120079625,120148806,NA,NA,1stExon,+,COLEC10,0,-,450k,NA,NA,NA,120079625,NA,120148806,NA,119067386,119067386,39
Horvath,cg05921699,Human,NCBI36,0.01806496,19,47072565,41876655,42380725,47072565,NA,NA,TSS1500;TSS1500,+,CD79A,0,-,450k,NA,NA,NA,42380725,NA,47072565,NA,41876655,41876655,40
Horvath,cg05960024,Human,NCBI36,0.08102989,4,56070777,55509853,56376020,56070777,NA,NA,5'UTR,-,CLOCK,0,-,450k,NA,NA,NA,56376020,NA,56070777,NA,55509853,55509853,41
Horvath,cg06121469,Human,NCBI36,0.02702458,15,42743390,44663900,44956098,42743390,NA,NA,TSS1500;TSS1500,-,KIAA1840,S_Shore,Shore,450k,NA,NA,NA,44956098,NA,42743390,NA,44663900,44663900,42
Horvath,cg06144905,Human,NCBI36,0.59721128,17,24393906,29042762,27369780,24393906,NA,NA,TSS200,+,PIPOX,0,-,450k,NA,NA,NA,27369780,NA,24393906,NA,29042762,29042762,43
Horvath,cg06361108,Human,NCBI36,0.43315799,16,2418782,2428780,2478781,2418782,NA,NA,TSS1500,+,CCNF,Island,Island,450k,NA,NA,NA,2478781,NA,2418782,NA,2428780,2428780,44
Horvath,cg06462291,Human,NCBI36,0.01575899,12,102759609,103841701,104235479,102759609,NA,NA,TSS1500,-,NT5DC3,S_Shore,Shore,450k,NA,NA,NA,104235479,NA,102759609,NA,103841701,103841701,45
Horvath,cg06493994,Human,NCBI36,1.85800616,6,25760581,25652374,25652602,25760581,NA,NA,1stExon;5'UTR,+,SCGN,Island,Island,450k,NA,NA,NA,25652602,NA,25760581,NA,25652374,25652374,46
Horvath,cg06557358,Human,NCBI36,-0.1413312,17,29931115,34579983,32907002,29931115,NA,NA,TSS1500;TSS1500,+,LOC124842,Island,Island; Shelf,450k,NA,NA,NA,32907002,NA,29931115,NA,34579983,34579983,47
Horvath,cg06738602,Human,NCBI36,-0.1516745,14,51850384,52313916,52780634,51850384,NA,NA,TSS1500,+,PTGER2,N_Shore,Shore,450k,NA,NA,NA,52780634,NA,51850384,NA,52313916,52313916,48
Horvath,cg06810647,Human,NCBI36,0.37488812,16,1605095,1615093,1665094,1605095,NA,NA,Body,+,CRAMP1L,Island,Island,450k,NA,NA,NA,1665094,NA,1605095,NA,1615093,1615093,49
Horvath,cg06952310,Human,NCBI36,0.09176066,19,19188990,19217181,19327990,19188990,NA,NA,Body,+,CSPG3,0,-,450k,NA,NA,NA,19327990,NA,19188990,NA,19217181,19217181,50
Horvath,cg06993413,Human,NCBI36,1.50318442,15,63597257,65517866,65810204,63597257,NA,NA,TSS200;TSS200;TSS1500;TSS200,-,DPP8,S_Shore,Shore,450k,NA,NA,NA,65810204,NA,63597257,NA,65517866,65517866,51
Horvath,cg07285276,Human,NCBI36,0.19224257,9,133602836,131737628,134613015,133602836,NA,NA,TSS200,-,RAPGEF1,0,Shore,450k,NA,NA,NA,134613015,NA,133602836,NA,131737628,131737628,52
Horvath,cg07291563,Human,NCBI36,0.04164002,19,53641253,48446184,48949441,53641253,NA,NA,1stExon,+,GRWD1,Island,Island; Shore,450k,NA,NA,NA,48949441,NA,53641253,NA,48446184,48446184,53
Horvath,cg07337598,Human,NCBI36,0.08822693,1,149220567,150981467,150953943,149220567,NA,NA,TSS1500,+,ANXA9,0,-,450k,NA,NA,NA,150953943,NA,149220567,NA,150981467,150981467,54
Horvath,cg07455279,Human,NCBI36,0.00563226,19,59297515,54102395,54605703,59297515,NA,NA,TSS1500,+,NDUFA3,N_Shore,Shore,450k,NA,NA,NA,54605703,NA,59297515,NA,54102395,54102395,55
Horvath,cg07595943,Human,NCBI36,0.05117807,16,82782402,84191295,84224901,82782402,NA,NA,1stExon;1stExon,+,LOC161931,Island,Island,450k,NA,NA,NA,84224901,NA,82782402,NA,84191295,84191295,56
Horvath,cg08030082,Human,NCBI36,0.01283032,2,25245343,25168970,25391839,25245343,NA,NA,TSS1500;TSS1500,-,POMC,Island,Island,450k,NA,NA,NA,25391839,NA,25245343,NA,25168970,25168970,57
Horvath,cg08090772,Human,NCBI36,-0.3414581,8,67507194,66432405,67344640,67507194,NA,NA,TSS200,+,ADHFE1,Island,Island; Shelf,450k,NA,NA,NA,67344640,NA,67507194,NA,66432405,66432405,58
Horvath,cg08124722,Human,NCBI36,0.0084849,17,29621827,34270695,32597714,29621827,NA,NA,Body,+,CCL7,0,-,450k,NA,NA,NA,32597714,NA,29621827,NA,34270695,34270695,59
Horvath,cg08251036,Human,NCBI36,0.06863488,2,134725393,134251352,135008923,134725393,NA,NA,-,+,MGAT5,0,-,450k,NA,NA,NA,135008923,NA,134725393,NA,134251352,134251352,60
Horvath,cg08370996,Human,NCBI36,0.81290763,15,94675035,96330802,96874031,94675035,NA,NA,TSS200;Body,+,NR2F2,Island,Shore,450k,NA,NA,NA,96874031,NA,94675035,NA,96330802,96330802,61
Horvath,cg08413469,Human,NCBI36,0.14051061,1,68735528,68497257,68962940,68735528,NA,NA,TSS200;TSS200,-,DEPDC1,Island,Island,450k,NA,NA,NA,68962940,NA,68735528,NA,68497257,68497257,62
Horvath,cg08434234,Human,NCBI36,-0.211774,7,137181713,137846427,137531173,137181713,NA,NA,Body,-,DGKI,Island,Island,450k,NA,NA,NA,137531173,NA,137181713,NA,137846427,137846427,63
Horvath,cg08771731,Human,NCBI36,0.10338682,5,17269434,17216325,17216434,17269434,NA,NA,Body;TSS1500,+,BASP1,N_Shore,Shore,450k,NA,NA,NA,17216434,NA,17269434,NA,17216325,17216325,64
Horvath,cg08965235,Human,NCBI36,-0.2201308,11,65081734,65557687,65325158,65081734,NA,NA,1stExon;1stExon;1stExon;5'UTR,-,LTBP3,Island,Shore; Shelf,450k,NA,NA,NA,65325158,NA,65081734,NA,65557687,65557687,65
Horvath,cg09019938,Human,NCBI36,-0.1217217,10,52504504,51074738,52834498,52504504,NA,NA,1stExon;Body,+,PRKG1,Island,Island,450k,NA,NA,NA,52834498,NA,52504504,NA,51074738,51074738,66
Horvath,cg09118625,Human,NCBI36,0.30780835,1,68285559,68047288,68512971,68285559,NA,NA,Body,-,DIRAS3,Island,Island; Shelf,450k,NA,NA,NA,68512971,NA,68285559,NA,68047288,68047288,67
Horvath,cg09191327,Human,NCBI36,-0.2783938,9,132529929,130664721,133540108,132529929,NA,NA,1stExon,+,PRDM12,Island,Island,450k,NA,NA,NA,133540108,NA,132529929,NA,130664721,130664721,68
Horvath,cg09418283,Human,NCBI36,0.02750291,12,78608849,79690938,80084718,78608849,NA,NA,1stExon;5'UTR,-,PAWR,Island,Island,450k,NA,NA,NA,80084718,NA,78608849,NA,79690938,79690938,69
Horvath,cg09509673,Human,NCBI36,0.01374519,17,38087223,42681679,40833697,38087223,NA,NA,Body;TSS1500,-,CCR10,N_Shore,Shore; Shelf,450k,NA,NA,NA,40833697,NA,38087223,NA,42681679,42681679,70
Horvath,cg09785172,Human,NCBI36,-0.0165611,4,6322559,6269931,6271658,6322559,NA,NA,5'UTR;1stExon;1stExon;5'UTR,+,WFS1,Island,Island,450k,NA,NA,NA,6271658,NA,6322559,NA,6269931,6269931,71
Horvath,cg09869858,Human,NCBI36,0.06631664,12,46406683,47726633,48120416,46406683,NA,NA,TSS1500,-,P11,0,-,450k,NA,NA,NA,48120416,NA,46406683,NA,47726633,47726633,72
Horvath,cg09885951,Human,NCBI36,0.0952375,1,212843092,214603126,214776469,212843092,NA,NA,TSS200,+,CENPF,Island,Island; Shelf,450k,NA,NA,NA,214776469,NA,212843092,NA,214603126,214603126,73
Horvath,cg10281002,Human,NCBI36,0.46841692,12,113330782,114408594,114846399,113330782,NA,NA,TSS200;TSS200,-,TBX5,Island,Shore; Shelf,450k,NA,NA,NA,114846399,NA,113330782,NA,114408594,114408594,74
Horvath,cg10376763,Human,NCBI36,-0.1153582,2,217432608,216859640,217724363,217432608,NA,NA,3'UTR,-,TNP1,0,-,450k,NA,NA,NA,217724363,NA,217432608,NA,216859640,216859640,75
Horvath,cg10377274,Human,NCBI36,0.05713908,11,125122098,125746993,125616888,125122098,NA,NA,Body,+,PATE,0,-,450k,NA,NA,NA,125616888,NA,125122098,NA,125746993,125746993,76
Horvath,cg10486998,Human,NCBI36,-0.3893358,18,73090775,77249831,74961787,73090775,NA,NA,TSS1500,+,GALR1,Island,Island,450k,NA,NA,NA,74961787,NA,73090775,NA,77249831,77249831,77
Horvath,cg10523019,Human,NCBI36,0.51464678,2,227408702,226835742,227700458,227408702,NA,NA,TSS1500;TSS1500,+,RHBDD1,Island,Island,450k,NA,NA,NA,227700458,NA,227408702,NA,226835742,226835742,78
Horvath,cg10920957,Human,NCBI36,-0.3999035,16,86192974,87601867,87635473,86192974,NA,NA,TSS1500,+,JPH3,N_Shore,Shore,450k,NA,NA,NA,87635473,NA,86192974,NA,87601867,87601867,79
Horvath,cg11932564,Human,NCBI36,0.70000108,22,40652092,41926142,42322146,40652092,NA,NA,Body,-,TNFRSF13C,Island,Island,450k,NA,NA,NA,42322146,NA,40652092,NA,41926142,41926142,80
Horvath,cg12351433,Human,NCBI36,0.07927922,2,48836461,48755818,48982957,48836461,NA,NA,TSS200,-,LHCGR,Island,Shore,450k,NA,NA,NA,48982957,NA,48836461,NA,48755818,48755818,81
Horvath,cg12373771,Human,NCBI36,0.53330155,22,15981381,17120491,17601381,15981381,NA,NA,1stExon;5'UTR,-,CECR6,Island,Island,450k,NA,NA,NA,17601381,NA,15981381,NA,17120491,17120491,82
Horvath,cg12768605,Human,NCBI36,-0.1885608,19,49016791,43820799,44324951,49016791,NA,NA,TSS200,-,LYPD5,Island,Island,450k,NA,NA,NA,44324951,NA,49016791,NA,43820799,43820799,83
Horvath,cg12830694,Human,NCBI36,0.33972678,19,43439636,38257156,38747796,43439636,NA,NA,TSS1500,-,PPP1R14A,S_Shore,Shore,450k,NA,NA,NA,38747796,NA,43439636,NA,38257156,38257156,84
Horvath,cg12946225,Human,NCBI36,0.13361275,19,3524751,3573753,3573751,3524751,NA,NA,Body,+,HMG20B,Island,Island; Shelf,450k,NA,NA,NA,3573751,NA,3524751,NA,3573753,3573753,85
Horvath,cg13038560,Human,NCBI36,0.26138098,2,200527358,199954390,200819113,200527358,NA,NA,Body;Body;TSS1500,+,FLJ22555,N_Shore,Shore,450k,NA,NA,NA,200819113,NA,200527358,NA,199954390,199954390,86
Horvath,cg13216057,Human,NCBI36,-0.1388574,11,11987219,12009096,12030643,11987219,NA,NA,TSS200;TSS1500;5'UTR,-,DKK3,Island,Island,450k,NA,NA,NA,12030643,NA,11987219,NA,12009096,12009096,87
Horvath,cg13319175,Human,NCBI36,0.01384822,1,19619151,19420070,19746564,19619151,NA,NA,Body,-,CAPZB,0,-,450k,NA,NA,NA,19746564,NA,19619151,NA,19420070,19420070,88
Horvath,cg13460409,Human,NCBI36,0.41202331,21,37301440,37007270,38379570,37301440,NA,NA,Body,+,DSCR6,S_Shore,Shore,450k,NA,NA,NA,38379570,NA,37301440,NA,37007270,37007270,89
Horvath,cg13682722,Human,NCBI36,0.11010093,14,89868321,90332224,90798568,89868321,NA,NA,TSS1500;TSS1500,-,C14orf102,S_Shore,Island,450k,NA,NA,NA,90798568,NA,89868321,NA,90332224,90332224,90
Horvath,cg13836627,Human,NCBI36,0.02998366,15,27901015,29821520,30113723,27901015,NA,NA,Body;Body,-,TJP1,Island,Island,450k,NA,NA,NA,30113723,NA,27901015,NA,29821520,29821520,91
Horvath,cg13854874,Human,NCBI36,0.04961333,21,36679395,36385227,37757525,36679395,NA,NA,TSS200,+,CHAF1B,Island,Island,450k,NA,NA,NA,37757525,NA,36679395,NA,36385227,36385227,92
Horvath,cg13899108,Human,NCBI36,0.03365167,19,18205322,18233512,18344322,18205322,NA,NA,5'UTR,-,PDE4C,S_Shore,Shore,450k,NA,NA,NA,18344322,NA,18205322,NA,18233512,18233512,93
Horvath,cg13975369,Human,NCBI36,0.37871621,7,129867789,130440712,130080553,129867789,NA,NA,Body,-,TSGA14,Island,Island,450k,NA,NA,NA,130080553,NA,129867789,NA,130440712,130440712,94
Horvath,cg14258236,Human,NCBI36,0.08689754,6,29431309,29355553,29323330,29431309,NA,NA,1stExon,-,OR5V1,0,-,450k,NA,NA,NA,29323330,NA,29431309,NA,29355553,29355553,95
Horvath,cg14308452,Human,NCBI36,0.00314204,19,5735184,5784173,5784184,5735184,NA,NA,Body;1stExon,-,MGC24975,N_Shore,Shore,450k,NA,NA,NA,5784184,NA,5735184,NA,5784173,5784173,96
Horvath,cg14329157,Human,NCBI36,0.25193077,2,228444379,227871419,228736135,228444379,NA,NA,TSS200,+,WDR69,N_Shore,Shore,450k,NA,NA,NA,228736135,NA,228444379,NA,227871419,227871419,97
Horvath,cg14424579,Human,NCBI36,3.06747027,2,27127813,27051441,27274309,27127813,NA,NA,TSS200;TSS200,+,FLJ21839,Island,Island,450k,NA,NA,NA,27274309,NA,27127813,NA,27051441,27051441,98
Horvath,cg14501253,Human,NCBI36,-0.0669222,8,12853385,12951505,12809014,12853385,NA,NA,5'UTR,+,FLJ36980,Island,Island,450k,NA,NA,NA,12809014,NA,12853385,NA,12951505,12951505,99
Horvath,cg14658362,Human,NCBI36,-0.1686035,8,30361203,30384145,30241661,30361203,NA,NA,TSS1500;TSS1500;TSS1500;TSS1500,+,RBPMS,Island,Island,450k,NA,NA,NA,30241661,NA,30361203,NA,30384145,30384145,100
Horvath,cg14723032,Human,NCBI36,9.0028e-4,17,6401296,6557252,6460572,6401296,NA,NA,TSS1500;TSS1500,-,PITPNM3,S_Shore,Shore,450k,NA,NA,NA,6460572,NA,6401296,NA,6557252,6557252,101
Horvath,cg14894144,Human,NCBI36,0.05337744,18,19524552,23690590,21270554,19524552,NA,NA,Body;Body,+,LAMA3,S_Shore,Shore,450k,NA,NA,NA,21270554,NA,19524552,NA,23690590,23690590,102
Horvath,cg14992253,Human,NCBI36,0.03582416,1,32460154,32221966,32687567,32460154,NA,NA,TSS1500;Body,-,C1orf91,Island,Island,450k,NA,NA,NA,32687567,NA,32460154,NA,32221966,32221966,103
Horvath,cg15341340,Human,NCBI36,-0.4687579,19,12853237,12881423,12992237,12853237,NA,NA,5'UTR;1stExon,-,DNASE2,Island,Island; Shelf,450k,NA,NA,NA,12992237,NA,12853237,NA,12881423,12881423,104
Horvath,cg15381769,Human,NCBI36,-0.1196272,6,128883665,128520827,128841972,128883665,NA,NA,TSS200;TSS200,-,PTPRK,Island,Island,450k,NA,NA,NA,128841972,NA,128883665,NA,128520827,128520827,105
Horvath,cg15547534,Human,NCBI36,0.38289752,7,99872346,100436787,100034410,99872346,NA,NA,TSS1500,-,MGC22793,S_Shore,Shore,450k,NA,NA,NA,100034410,NA,99872346,NA,100436787,100436787,106
Horvath,cg15661409,Human,NCBI36,0.04374493,14,57030729,57494258,57960976,57030729,NA,NA,TSS1500,-,C14orf105,0,-,450k,NA,NA,NA,57960976,NA,57030729,NA,57494258,57494258,107
Horvath,cg15974053,Human,NCBI36,-0.0094866,19,54031601,48836532,49339789,54031601,NA,NA,5'UTR;1stExon,-,DHRS10,N_Shore,Shore,450k,NA,NA,NA,49339789,NA,54031601,NA,48836532,48836532,108
Horvath,cg15988232,Human,NCBI36,0.03632481,3,47596131,47579637,47621127,47596131,NA,NA,TSS1500,-,CSPG5,Island,Island,450k,NA,NA,NA,47621127,NA,47596131,NA,47579637,47579637,109
Horvath,cg16150435,Human,NCBI36,0.01749538,6,31188508,31112752,31080529,31188508,NA,NA,TSS200,-,C6orf15,0,-,450k,NA,NA,NA,31080529,NA,31188508,NA,31112752,31112752,110
Horvath,cg16241714,Human,NCBI36,2.55190303,8,48813064,47737949,48650511,48813064,NA,NA,1stExon,-,CEBPD,Island,Island,450k,NA,NA,NA,48650511,NA,48813064,NA,47737949,47737949,111
Horvath,cg16494477,Human,NCBI36,-0.0664399,5,170779856,171420247,170847251,170779856,NA,NA,Body,+,FGF18,Island,Island,450k,NA,NA,NA,170847251,NA,170779856,NA,171420247,171420247,112
Horvath,cg16547529,Human,NCBI36,0.16749385,11,74818329,75429636,75140681,74818329,NA,NA,Body,-,FLJ33790,N_Shore,Shore,450k,NA,NA,NA,75140681,NA,74818329,NA,75429636,75429636,113
Horvath,cg16579101,Human,NCBI36,-0.0960677,12,6547419,6567992,6677158,6547419,NA,NA,5'UTR;5'UTR,-,NOL1,Island,Island,450k,NA,NA,NA,6677158,NA,6547419,NA,6567992,6567992,114
Horvath,cg17063929,Human,NCBI36,-0.0019856,11,88864447,89491631,89224799,88864447,NA,NA,5'UTR;TSS200;TSS200;TSS200,-,NOX4,S_Shore,Shore,450k,NA,NA,NA,89224799,NA,88864447,NA,89491631,89491631,115
Horvath,cg17099569,Human,NCBI36,0.11557298,2,121266336,120792290,121549866,121266336,NA,NA,-,+,GLI2,0,-,450k,NA,NA,NA,121549866,NA,121266336,NA,120792290,120792290,116
Horvath,cg17285325,Human,NCBI36,0.13731551,22,49315209,50529914,50968343,49315209,NA,NA,1stExon;5'UTR;1stExon;5'UTR;TSS200,-,ECGF1,Island,Island; Shelf,450k,NA,NA,NA,50968343,NA,49315209,NA,50529914,50529914,117
Horvath,cg17408647,Human,NCBI36,-0.0948432,7,43735574,43729450,43769049,43735574,NA,NA,5'UTR;1stExon,-,FLJ10803,Island,Island,450k,NA,NA,NA,43769049,NA,43735574,NA,43729450,43729450,118
Horvath,cg17655614,Human,NCBI36,0.15662417,16,67328445,68737041,68770944,67328445,NA,NA,TSS1500,+,CDH1,N_Shore,Shore,450k,NA,NA,NA,68770944,NA,67328445,NA,68737041,68737041,119
Horvath,cg17729667,Human,NCBI36,0.1468302,20,25514382,25585746,25566382,25514382,NA,NA,TSS1500,-,KIAA0980,Island,Shore,450k,NA,NA,NA,25566382,NA,25514382,NA,25585746,25585746,120
Horvath,cg17853587,Human,NCBI36,-0.0229927,4,119173834,118033231,118954386,119173834,NA,NA,TSS1500,+,NDST3,N_Shore,Shore,450k,NA,NA,NA,118954386,NA,119173834,NA,118033231,118033231,121
Horvath,cg17960516,Human,NCBI36,0.06662054,4,3434802,3463277,3465004,3434802,NA,NA,TSS200;TSS200,+,FLJ33718,Island,Island,450k,NA,NA,NA,3465004,NA,3434802,NA,3463277,3463277,122
